Month,Second Year Data,Differences
1,10017635.42983365,4967141.530112327
2,4678884.430280428,-1382643.011711846
3,15190472.315184727,6476885.381006926
4,18779162.349381067,15230298.564080253
5,1382021.195175949,-2341533.7472333596
6,1884487.077218227,-2341369.5694918055
7,17921519.982805487,15792128.155073915
8,16427832.710872356,7674347.291529087
9,1023194.6952761989,-4694743.859349521
10,11175586.760061473,5425600.435859647
11,2535259.771296746,-4634176.928124622
12,575869.2785236863,-4657297.5357025685
